,player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
75,Brian Cardinal,PF,32,MIN,29,0,267,2.6,6.7,.389,0.6,1.7,.333,2.1,5.1,.407,3.2,3.4,.944,1.3,4.1,5.4,4.5,1.7,0.6,1.3,10.5,9.0,,118,113
76,Rodney Carney,SG,25,PHI,68,0,857,6.9,17.2,.401,2.5,8.3,.304,4.4,9.0,.490,3.2,3.9,.825,1.6,6.8,8.4,2.3,1.5,1.2,1.3,4.8,19.5,,109,111
77,DeMarre Carroll,SF,23,MEM,71,1,795,5.7,14.3,.396,0.0,0.4,.000,5.7,13.9,.407,2.1,3.4,.623,3.4,6.3,9.7,2.1,1.8,0.6,1.5,6.9,13.5,,98,110
78,Matt Carroll,SG,29,DAL,25,0,121,7.7,21.4,.360,1.7,8.1,.211,6.0,13.3,.452,2.6,2.6,1.000,1.7,3.4,5.1,2.6,2.1,0.0,3.0,5.6,19.7,,87,108
79,Anthony Carter,PG,34,DEN,54,7,859,4.5,10.7,.420,1.0,3.7,.270,3.5,7.0,.500,0.6,0.8,.846,1.0,4.2,5.2,9.4,2.3,0.8,3.4,4.2,10.6,,100,108
80,Vince Carter,SG,33,ORL,75,74,2310,9.8,22.9,.428,2.7,7.3,.367,7.1,15.6,.456,5.8,6.9,.840,0.7,5.9,6.6,5.3,1.2,0.4,2.4,4.3,28.1,,112,105
81,Omri Casspi,SF,21,SAC,77,31,1931,7.9,17.8,.446,2.0,5.4,.369,6.0,12.4,.480,3.1,4.6,.672,2.0,7.2,9.2,2.5,1.4,0.4,2.6,3.3,20.9,,104,110
82,Mario Chalmers,PG,23,MIA,73,22,1807,5.4,13.5,.401,2.2,7.0,.318,3.2,6.5,.491,2.4,3.3,.745,0.7,3.3,4.0,7.3,2.7,0.4,3.6,5.2,15.4,,100,105
83,Tyson Chandler,C,27,CHA,51,27,1163,5.0,8.7,.574,0.0,0.0,,5.0,8.7,.574,5.3,7.2,.732,5.2,9.4,14.6,0.7,0.8,2.5,4.2,6.3,15.2,,107,102
84,Wilson Chandler,SG,22,NYK,65,64,2320,9.1,18.9,.479,0.9,3.3,.267,8.2,15.6,.524,2.8,3.5,.806,2.0,5.6,7.7,3.0,1.0,1.1,2.4,4.1,21.9,,106,113
